City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,hasaki,35.7333,140.8333,291.37,68,100,5.76,JP,1680224317
114,magan,39.9683,-3.931,289.44,63,100,8.2,ES,1680224685
115,ngora,1.4314,33.7772,292.4,87,100,1.63,UG,1680224686
116,matamoros,25.5333,-103.25,301.54,18,100,4.21,MX,1680224686
117,vostok,46.4856,135.8833,274.45,56,62,3.61,RU,1680224551
118,chake chake,-5.2459,39.7666,299.0,80,96,1.52,TZ,1680224686
119,saint george,37.1041,-113.5841,281.48,55,75,7.72,US,1680223976
120,thessalon,46.2501,-83.5666,272.31,93,22,0.84,CA,1680224419
121,porto novo,6.4965,2.6036,302.05,85,100,2.69,BJ,1680224501
122,terekli-mekteb,44.1671,45.8698,277.43,64,87,3.14,RU,1680224686
123,chuy,-33.6971,-53.4616,293.15,91,100,3.03,UY,1680224257
124,victoria,22.2855,114.1577,295.06,93,100,4.02,HK,1680224225
125,saint-philippe,-21.3585,55.7679,297.92,84,56,2.89,RE,1680224285
126,emilio carranza,19.9711,-96.6114,297.07,85,100,4.52,MX,1680224687
127,ponta delgada,37.7333,-25.6667,289.55,100,75,2.57,PT,1680224420
128,tuatapere,-46.1333,167.6833,290.15,48,91,1.51,NZ,1680224297
129,ciudad ojeda,10.1964,-71.3082,300.32,70,40,5.31,VE,1680224687
130,zaraza,9.3503,-65.3245,298.89,69,85,4.57,VE,1680224687
131,carnarvon,-24.8667,113.6333,296.94,68,66,1.93,AU,1680224330
132,asmara,15.3333,38.9333,285.95,66,68,0.85,ER,1680224687
133,dingle,10.9995,122.6711,302.22,66,99,4.31,PH,1680224320
134,ancud,-41.8697,-73.8203,280.99,75,100,2.48,CL,1680224331
135,prince rupert,54.3161,-130.3201,278.2,81,100,4.63,CA,1680224414
136,karla,59.3723,24.9275,272.35,85,100,2.57,EE,1680224688
137,clyde river,70.4692,-68.5914,254.28,78,100,5.66,CA,1680224263
138,almaznyy,48.0448,40.045,272.85,97,100,10.2,RU,1680224315
139,rawson,-43.3002,-65.1023,284.1,53,75,10.6,AR,1680224319
140,lorengau,-2.0226,147.2712,300.61,79,98,2.85,PG,1680224306
141,san policarpo,12.1791,125.5072,301.31,75,100,3.23,PH,1680224688
142,pundaguitan,6.3711,126.1689,300.72,76,100,3.1,PH,1680224688
143,sayat,38.7839,63.8803,289.08,35,0,2.2,TM,1680224689
144,boundiali,9.5217,-6.4869,298.65,58,2,1.56,CI,1680224689
145,tasiilaq,65.6145,-37.6368,270.19,93,100,4.24,GL,1680224276
146,port blair,11.6667,92.75,299.66,77,100,1.54,IN,1680224338
147,leshukonskoye,64.8989,45.7622,273.43,99,100,2.08,RU,1680224331
148,taseyevo,57.2169,94.8978,263.11,78,99,3.61,RU,1680224691
149,vega de alatorre,20.0333,-96.6333,297.36,85,100,4.77,MX,1680224602
150,chau doc,10.7,105.1167,300.04,68,100,3.99,VN,1680224431
151,palu,-0.8917,119.8707,301.04,77,100,0.79,ID,1680224691
152,malkangiri,18.35,81.9,297.82,75,0,1.21,IN,1680224422
153,new norfolk,-42.7826,147.0587,288.87,74,100,2.71,AU,1680224283
154,half moon bay,37.4636,-122.4286,287.61,68,75,9.26,US,1680224281
155,acapulco,16.8634,-99.8901,302.05,65,75,4.63,MX,1680224315
156,lavrentiya,65.5833,-171.0,265.95,74,100,4.39,RU,1680224326
157,nikolskoye,59.7035,30.7861,271.09,97,100,1.83,RU,1680224288
158,shubarkuduk,49.1447,56.4872,283.05,69,100,11.06,KZ,1680224692
159,port lincoln,-34.7333,135.8667,292.32,58,0,4.0,AU,1680224300
160,cuamba,-14.8031,36.5372,292.36,99,100,0.64,MZ,1680224528
161,qaqortoq,60.7167,-46.0333,263.35,82,1,2.48,GL,1680224692
162,livramento,-3.0254,-60.1803,299.52,94,20,1.54,BR,1680224692
163,buraydah,26.326,43.975,292.4,42,30,6.43,SA,1680224542
164,blagoyevo,63.3667,47.9167,274.13,98,100,4.46,RU,1680224693
165,kalabo,-14.97,22.6814,292.34,92,95,0.72,ZM,1680224693
166,beziers,43.3476,3.219,283.37,93,75,1.54,FR,1680224693
167,inirida,3.8653,-67.9239,297.68,89,91,0.71,CO,1680224693
168,shingu,33.7333,135.9833,289.78,58,100,2.32,JP,1680224291
169,sioux lookout,50.1001,-91.917,272.19,55,40,3.09,CA,1680224441
170,sao filipe,14.8961,-24.4956,296.08,79,100,0.62,CV,1680224346
171,olafsvik,64.8945,-23.7142,276.0,84,92,4.19,IS,1680224229
172,mul,20.0667,79.6667,299.27,64,10,4.28,IN,1680224694
173,leningradskiy,69.3833,178.4167,258.58,87,21,3.89,RU,1680224346
174,north branch,45.5113,-92.9802,274.34,92,100,0.89,US,1680224537
175,touros,-5.1989,-35.4608,298.27,87,100,4.95,BR,1680224645
176,ilulissat,69.2167,-51.1,245.62,91,5,2.46,GL,1680224281
177,pangody,65.85,74.4859,247.01,100,42,2.71,RU,1680224695
178,westport,41.1415,-73.3579,279.14,37,0,5.66,US,1680224287
179,sinop,41.7711,34.8709,270.54,82,86,2.61,TR,1680224695
180,tiksi,71.6872,128.8694,245.51,99,99,2.9,RU,1680224325
181,pampierstad,-27.7832,24.6877,288.84,24,77,2.6,ZA,1680224587
182,castro,-24.7911,-50.0119,290.28,94,96,1.26,BR,1680224290
183,matara,5.9485,80.5353,297.51,91,6,1.39,LK,1680224603
184,mackay,-21.15,149.2,304.64,65,10,1.5,AU,1680224425
185,verkhoyansk,67.5447,133.385,258.42,87,100,4.31,RU,1680224371
186,wasilla,61.5814,-149.4394,276.9,73,100,3.13,US,1680224696
187,faya,18.3851,42.4509,287.44,82,56,3.26,SA,1680224345
188,tocopilla,-22.092,-70.1979,295.63,84,40,4.08,CL,1680224513
189,oussouye,12.485,-16.5469,296.25,79,2,2.74,SN,1680224696
190,tazovskiy,67.4667,78.7,243.26,100,47,2.15,RU,1680224356
191,nome,64.5011,-165.4064,273.19,86,100,0.0,US,1680224300
192,cidreira,-30.1811,-50.2056,296.31,81,50,1.46,BR,1680224302
193,qaanaaq,77.484,-69.3632,248.61,61,8,2.69,GL,1680224276
194,bredasdorp,-34.5322,20.0403,286.87,87,13,0.9,ZA,1680224286
195,alofi,-19.0595,-169.9187,302.09,79,40,4.12,NU,1680224339
196,dezful,32.3811,48.4058,292.73,42,93,0.63,IR,1680224697
197,nemuro,43.3236,145.575,277.1,90,100,8.69,JP,1680224341
198,port elizabeth,-33.918,25.5701,288.32,82,0,4.12,ZA,1680224319
199,makakilo city,21.3469,-158.0858,300.33,71,0,6.17,US,1680224327
200,norrtalje,59.758,18.705,272.6,87,100,2.86,SE,1680224697
201,puerto madryn,-42.7692,-65.0385,284.76,55,94,11.01,AR,1680224580
202,ostrovnoy,68.0531,39.5131,262.38,93,10,5.93,RU,1680224311
203,marawi,7.9986,124.2928,297.63,81,86,1.31,PH,1680224309
204,pisco,-13.7,-76.2167,296.18,83,20,5.14,PE,1680224325
205,grand-santi,4.25,-54.3833,295.42,99,32,1.1,GF,1680224698
206,talnakh,69.4865,88.3972,246.04,98,88,1.79,RU,1680224291
207,kahului,20.8947,-156.47,302.16,54,40,4.12,US,1680224315
208,okhotsk,59.3833,143.3,269.48,90,100,3.96,RU,1680224281
209,maxixe,-23.8597,35.3472,294.35,84,41,0.95,MZ,1680224698
210,tambura,5.6,27.4667,298.05,51,100,1.6,SS,1680224698
211,nkhata bay,-11.6066,34.2907,294.72,89,97,1.75,MW,1680224698
212,naze,28.3667,129.4833,291.66,88,39,5.13,JP,1680224595
213,ler,8.3018,30.1418,301.86,12,100,3.94,SS,1680224563
214,douentza,14.9951,-2.9517,299.12,8,93,2.14,ML,1680224699
215,cooma,-36.2333,149.1333,289.47,50,1,2.94,AU,1680224441
